,Unnamed: 0,text,keys,BIO_tag
10,10,"The control of the RP re-encounter probability finds a direct application to improve the performance of chemical devices. Here, we show how a simple-to-implement control scheme highly enhances the sensitivity of a model chemical magnetometer by up to two orders of magnitude. The basic idea behind a chemical magnetometer is that, since a change in the magnetic field modifies the amount of singlet products, one can reverse the reasoning and measure the chemical yield to estimate B. Intuitively, the magnetic sensitivity is high when a small change in the magnetic field intensity produces large effects on the singlet yield. Formally, it is defined as:(2)Λs(B)≡∂Φs(B)∂B=∫0∞pre(t)gs(B,t)dt,with gs(B,t)≡∂fs(B,t)∂B being the instantaneous magnetic sensitivity. The functional form of fs(B,t)=Sρel(t)S strongly depends on the specific realization of the radical pair, in particular on the number of the surrounding nuclear spins. Here, we consider a radical pair in which the first electron spin is devoid of hyperfine interactions, while the second electron spin interacts isotropically with one spin-1 nucleus, e.g. nitrogen. In the context of the chemical compass (i.e. when the task is determining the magnetic field direction through anisotropic hyperfine interactions), an analogous configuration (with only one spin-1/2 nucleus) has been proposed [3], and numerically characterized [8], as being optimal: Additional nuclear spins would perturb the intuitive ‘reference and probe’ picture. The Hamiltonian then simplifies to H=-γeB(S1(z)+S2(z))+|γe|αS→2·I→, where α is the isotropic hyperfine coupling.
","['(2)Λs(B)≡∂Φs(B)∂B=∫0∞pre(t)gs(B,t)dt', 'analogous configuration', 'anisotropic hyperfine interactions', 'B', 'chemical compass', 'chemical devices', 'chemical magnetometer', 'chemical yield', 'control scheme', 'determining the magnetic field direction through anisotropic hyperfine interactions', 'electron spin', 'gs(B,t)≡∂fs(B,t)∂B', 'hyperfine interactions', 'H=-γeB(S1(z)+S2(z))+|γe|αS→2·I→', 'improve the performance of chemical devices', 'instantaneous magnetic sensitivity', 'isotropic hyperfine coupling', 'magnetic field', 'magnetic field direction', 'magnetic field intensity', 'magnetic sensitivity', 'model chemical magnetometer', 'nitrogen', 'nuclear spins', 'realization of the radical pair', 'RP re-encounter probability', 'singlet products', 'singlet yield', 'spin-1/2 nucleus', 'spin-1 nucleus', 'α']",O B I B I O O O O O O B I B O O O O O O O B O O O O O B B O O O O O O O O O O O O B O O O O O O O B I O O B O O O O O O O B O O O O O B O O O O O O O O B I O O O O O B O O O O O O O O B B O O O O O O O O O B I O O O O O O B O O O O O O O O O B O O O B O O O B O O O O O B O O O O O B O O O O O B I B I B B O O B O O O O B O O O O O O O O O O O O O B O O O O O O O O O O O O O B O B O B B O
11,11,"First-principles calculations have clarified the electronic structure and stability of the W@Si12 cluster under O2 molecule adsorption and reaction. Our results show that the W-encapsulated Si12 hexagonal prism cage is very inert to oxidation. The O2 molecule only weakly adsorbs onto the cluster at relatively low temperatures, in the range of several tens meV. However, significant reaction barriers (0.593–1.118 eV) for the O2 molecule on the cluster are identified on different adsorption sites, nevertheless, these reaction paths are spin forbidden reactions according to Wingerʼs spin selection rule. These results imply that O2 readily desorb from the cluster surface rather than dissociate and oxide the W@Si12 cluster upon excitations. In high temperature and high pressure conditions, the O2 molecules may dissociate on the preferential edge site by overcoming a significantly large energy barrier.
","['0.593–1.118 eV', 'adsorption', 'cluster', 'electronic structure and stability', 'First-principles calculations', 'high temperature and high pressure conditions', 'low temperatures', 'O2', 'O2 molecule adsorption and reaction', 'overcoming a significantly large energy barrier', 'oxidation', 'reaction', 'significant reaction barriers', 'spin forbidden reactions', 'W-encapsulated Si12 hexagonal prism cage', 'Wingerʼs spin selection rule', 'W@Si12 cluster']",B O O O O B I O O O B B O B I B I O O O O O O B I O O O O O O O B I O O O O O B O O B O O O O O O O O O B B O O O O O B I O O B O O O O B O O O B O O B I O O O B B I O O O O O B O O O O B O O O O O O B B O O O B I B I O O B O O O O O O O O O B I O
12,12,"As discussed above, proper inclusion of these interactions requires segment synchronization after every iteration. In order to minimize simulation errors due to incorrect values of the interactions potential, segments are synchronized after every iteration. Although relatively long communication times between remote processors may hinder this process in typical parallel computers, this is not the case for GPGPU architectures. Still, full recalculation of the interaction potential after each iteration is time consuming. Instead, the algorithm corrects the current potential by adding dipole contributions for every nearby charge that hopped during the previous iteration. Full updates of the interaction potential are only required for the grid points that are related to charges that hopped during the last iteration. Accumulative rounding errors that arise due to repetitive addition and subtraction are solve this by rounding all interaction potentials to a uniformly spaced range of floating point numbers.
","['adding dipole contributions', 'algorithm', 'corrects the current potential', 'GPGPU architectures', 'interaction potential', 'minimize simulation errors', 'parallel computers', 'processors', 'proper inclusion of these interactions', 'recalculation of the interaction potential', 'segments are synchronized after every iteration', 'segment synchronization after every iteration']",O O O B I O O B I O O O O B I O O O O O O O B I O O O O O O O O B O O O O O O B O O O O O O B O O O B I B O O O O O O O B B I O O B I O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O
13,13,"The oxide thickness is calculated using the weight gain and surface area. Artificially changing the surface profile will modify the surface area and calculated oxide thickness. SEM images of samples removed after 111 days oxidation were used to define the change in surface profile length with variation in applied roughness. The profile lengths extracted from the images were then used to modify the length of the sample and therefore the surface area. Table 1 shows the original oxide thicknesses after 111 days oxidation, the modified oxide thicknesses based on the surface profile length and the percentage difference. Results show a maximum decrease in the oxide thickness of 4% when using a surface which accounts for roughness. Comparing the change in oxide thickness between different surface finishes indicates a variation of less than 1%. As such, the impact of the variation in the profile length on the calculated oxide thickness is considered to be insignificant. In addition, if the differences in weight gain were only due to differences in surface area, rougher samples would be expected to demonstrate thicker oxides at the earliest stages of oxidation.
","['images', 'oxidation', 'oxide', 'oxides', 'profile', 'sample', 'samples', 'SEM images', 'surface', 'surface area', 'surface profile']",O B O O O O O O O O B O O O O B B O O O B O O O B O B B O B O O O O B O O O O O O O B B O O O O O O O B O O O O B O O O O O O O O O B O O O B O O O O O O B O O O O B O O B O O O O B B O O O O O O O O O O O O B O O O O O O B O O O O O O O O B O O O B O O O O O O O O O O O O O O O O O B O O O O B O O O O O O O O O O O O O O O O O O O O B O O B O O O O O O B O O O O O O
14,14,"FabHemeLB is a Python tool which helps automate the construction and management of ensemble simulation workflows. FabHemeLB is an extended version of FabSim [27] configured to handle HemeLB operations. Both FabSim and FabHemeLB help to automate application deployment, execution and data analysis on remote resources. FabHemeLB can be used to compile and build HemeLB on any remote resource, to reuse machine-specific configurations, and to organize and curate simulation data. It can also submit HemeLB jobs to a remote resource specifying the number of cores and the wall clock time limit for completing a simulation. The tool is also able to monitor the queue status on remote resources, fetch results of completed jobs, and can conveniently combine functionalities into single one-line commands. In general, the FabHemeLB commands have the following structure:
","['automate application deployment, execution and data analysis on remote resources', 'automate the construction and management of ensemble simulation workflows', 'combine functionalities into single one-line commands', 'data analysis', 'deployment', 'execution', 'FabHemeLB', 'FabSim', 'fetch results of completed jobs', 'HemeLB', 'monitor the queue status on remote resources', 'organize and curate simulation data', 'Python tool', 'simulation', 'simulation data']",B O O B O O O B I B O B O O O O B O O O O B O O B I B O O B I B B I B I O B O O O O O O B I O O O O O O O B I B O O O O O B O O O O O O O O O O O O O O O O O O O O O B I O B I O O O B I O O O B O O O O
15,15,"Hydrides, once precipitated in zirconium, degrade the mechanical properties of a component, leading to reductions in tensile strength, ductility and fracture toughness [35–40]. These changes can ultimately compromise the integrity of cladding during normal operating life , accident conditions and fuel storage [13]. As well as the degradation of mechanical properties, the presence of hydrides can also affect phenomena like pellet cladding mechanical interaction (PCMI); or introduce mechanisms for failure, such as delayed hydride cracking (DHC). The former mechanism is the product of thermal expansion in fuel pellets introducing stresses into the cladding, which may then lead to the formation of cracks in areas made brittle by large hydride concentrations [13]. The latter mechanism, DHC, is a sub-critical, time dependent cracking phenomenon that requires long range hydrogen diffusion for repeated local hydride growth and fracture at a hydrostatic tensile stress raiser [5,41,42]. The process occurs over an extended period of time under a continuously applied load that is below the yield stress of the material [5,41,42].
","['cladding', 'cracking phenomenon', 'delayed hydride cracking', 'DHC', 'fuel', 'fuel pellets', 'hydride', 'hydrides', 'Hydrides', 'hydrogen', 'hydrogen diffusion', 'hydrostatic tensile stress raiser', 'local hydride growth', 'PCMI', 'pellet cladding mechanical interaction', 'thermal expansion', 'zirconium']",B O O O B O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O B O O O O O O O O O O O O B O O O O O B B I O O O O O O O O O B B B O O O O O O O O B O O B O O O O O B O O O O O O O O O O O O O O O B O O O O O B O O O O O B O O O O O B O O O B B O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O
16,16,"In exploring the WKB limit of quantum theory, Bohm [2] was the first to notice that although one starts with all the ambiguities about the nature of a quantum system, the first order approximation fits the ordinary classical ontology. By that we mean that the real part of the Schrödinger equation under polar decomposition of the wave function becomes the classical Hamilton–Jacobi equation in the limit where terms involving ℏ are neglected. In contrast to this approach, in this Letter we show that the classical trajectories arise from a short-time quantum propagator when terms of O(Δt2) can be neglected. This fact was actually already observed by Holland some twenty years ago: In page 269 of his book [6] infinitesimal time intervals are considered whose sequence constructs a finite path. It is shown that along each segment the motion is classical (negligible quantum potential), and that it follows that the quantum path may be decomposed into a sequence of segments along each of which the classical action is a minimum. The novel contribution of the present Letter is an improved proof of Hollandʼs result using an improved version of the propagator due to Makri and Miller [9,10]. (See also de Gosson [3] for a further discussion.)
","['Hamilton–Jacobi equation', 'infinitesimal time intervals', 'propagator', 'Schrödinger equation under polar decomposition of the wave function', 'short-time quantum propagator', 'WKB limit of quantum theory']",O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O B I O O O O O O O O O O O O O O O O O O O O O O O B I B O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O
17,17,"In the Total Focusing Method (TFM) the beam is synthetically focused at every point in the target region [7] as follows. After obtaining the FMC data, the target region, which is in the x–z plane in 2D (Fig. 1), is discretized into a grid. The signals from all elements in the array are then summed to synthesize a focus at every point in this grid. Linear interpolation of the time domain signals is necessary since they are discretely sampled. The intensity of the TFM image ITFM at any point (x,z) is given by:(10)ITFM(x,z)=|∑HTR(1c((xT−x)2+z2+(xR−x)2+z2))|forallT,Rwhere HTR(t) is the Hilbert transform of a signal uTR(t) in the FMC data, xT is the x-position of the transmitting element (T) and xR is the x-position of the receiving element (R). Note that the z-position of all elements is zero (Fig. 3a). The summation is carried out for all possible transmitter–receiver pairs and therefore uses all the information captured with FMC. This algorithm is referred to as ‘conventional TFM’ in this paper.
","['conventional TFM', 'discretely sampled', 'discretized into a grid', 'FMC', 'FMC data', 'grid', 'Hilbert transform', 'Linear interpolation', 'R', 'receiving element', 'summation', 'summed', 'synthesize a focus at every point in this grid', 'T', 'TFM', 'TFM image', 'TFM image ITFM', 'Total Focusing Method', 'transmitter–receiver pairs', 'transmitting element', 'x–z plane']",O O B I O O O O O O O O O O O O O O O O B O O O O O O O B O O O O O B I O O O O O O O O O O B O B I O B O O O O O O O O O O O B O O O O O B I O O O O O O O O O B O O O O O B O O O O O O O B O O O O O O O O O B O O O O O O O O O O O O O O B O O O O O O B O O O O O O O O O O O O O O O O O O O
18,18,"The need for power generation industry to improve the thermal efficiency of power plant has led to the development of 9–12% Cr martensitic steels. The development of and research on P91 steels started since late 1970s and early 1990s, respectively [1]. The work has focussed on their creep strengths due to its intended application at high temperature. Recently, the introduction of more cyclic operation of power plant has introduced the possibility of fatigue problems. Bore cracking due to the effects of varying steam warming has been reported [2]. The temperature cycling causes thermal gradients between the inside and outside of components and this can cause cyclic stress levels to be of concerns. Recently, research on thermal–mechanical analysis of P91 has been carried out including the characterisation of the cyclic behaviour of the material using the two-layer and unified visco-plasticity models [3,4].
","['9–12% Cr martensitic steels', 'characterisation of the cyclic behaviour of the material', 'development of and research on P91 steels', 'fatigue problems', 'improve the thermal efficiency of power plant', 'P91', 'P91 steels', 'power generation', 'power plant', 'steam warming', 'temperature cycling', 'the material', 'thermal–mechanical analysis of P91', 'two-layer and unified visco-plasticity models']",O O O B O O O B B I B O O O O B B I B I O O B I B O O O O O O O O O O O O O O O O O O O O O O O O O B O O O B O O O B O B O O O O O B O O B O O O O O O B O O O O B O O O O O O O O O O O O B I B O O O O O B B I B I B O O B B I O O
19,19,"The presence of chaotic motion in nuclear systems has been firmly related with the statistics of high-lying energy levels [8,9]. Poisson distributions of normalized spacings of successive nuclear or atomic excited levels with the same spin and parity correspond to integrable classical dynamics, while Wigner's statistics signal chaotic motion in the corresponding classical regime [10]. Intermediate situations are more difficult to assess. Very recently a proposal has been made to treat the spectral fluctuations δn as discrete time series [11]. Defining (1)δn=∫−∞En+1ρ˜(E)dE−n, with ρ˜(E) the mean level density which allows the mapping to dimensionless levels with unitary average level density, and analyzing the energy fluctuations as a discrete time series, they found that nuclear power spectra behave like 1f noise, postulating that this might be a characteristic signature of generic quantum chaotic systems. In the present work we implement this idea, using the 1f spectral behavior as a test for the presence of chaos in nuclear mass errors.
","['1f spectral behavior', 'analyzing the energy fluctuations', 'chaos in nuclear mass errors', 'chaotic motion', 'chaotic motion in nuclear systems', 'classical regime', 'discrete time series', 'excited levels', 'integrable classical dynamics', 'mapping to dimensionless levels', 'nuclear power spectra', 'parity', 'Poisson distributions', 'quantum chaotic systems', 'spectral fluctuations', 'spin', 'statistics of high-lying energy levels', 'unitary average level density', ""Wigner's statistics"", 'δn']",O O B I B O O O O O O B I O O B O O O O B O O B O O O B O B O B B O O O B O B I O B O O O O O O O O O O O O O O O O B O B O B I O O O O O O O O O O B I O O B I O O B I O O O B I O O O O B I O O O B O O O O O O O O O O B B O O O O O O O O O B B O O O O O O B I B I O
