,Unnamed: 0,text,keywords,BIO_tag
10,10,the control of the rp re encounter probability finds direct application to improve the performance of chemical devices here we show how simple to implement control scheme highly enhances the sensitivity of model chemical magnetometer by up to two orders of magnitude the basic idea behind chemical magnetometer is that since change in the magnetic field modifies the amount of singlet products one can reverse the reasoning and measure the chemical yield to estimate intuitively the magnetic sensitivity is high when small change in the magnetic field intensity produces large effects on the singlet yield formally it is defined as being the instantaneous magnetic sensitivity the functional form of strongly depends on the specific realization of the radical pair in particular on the number of the surrounding nuclear spins here we consider radical pair in which the first electron spin is devoid of hyperfine interactions while the second electron spin interacts isotropically with one spin nucleus nitrogen in the context of the chemical compass when the task is determining the magnetic field direction through anisotropic hyperfine an analogous configuration only one spin has been proposed and numerically characterized as being optimal additional nuclear spins would perturb the intuitive and picture the hamiltonian then simplifies to where is the isotropic hyperfine ,"['(2)Λs(B)≡∂Φs(B)∂B=∫0∞pre(t)gs(B,t)dt', 'analogous configuration', 'anisotropic hyperfine interactions', 'B', 'chemical compass', 'chemical devices', 'chemical magnetometer', 'chemical yield', 'control scheme', 'determining the magnetic field direction through anisotropic hyperfine interactions', 'electron spin', 'gs(B,t)≡∂fs(B,t)∂B', 'hyperfine interactions', 'H=-γeB(S1(z)+S2(z))+|γe|αS→2·I→', 'improve the performance of chemical devices', 'instantaneous magnetic sensitivity', 'isotropic hyperfine coupling', 'magnetic field', 'magnetic field direction', 'magnetic field intensity', 'magnetic sensitivity', 'model chemical magnetometer', 'nitrogen', 'nuclear spins', 'realization of the radical pair', 'RP re-encounter probability', 'singlet products', 'singlet yield', 'spin-1/2 nucleus', 'spin-1 nucleus', 'α']",O O O O B I I I O O O O O O O O B I O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O B I O O O O B I O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O B I O O O O O O O B I I O O O O O O O O O B I I I I O O O O O O O O B I O O O O O O O O O B I O O O B I O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
11,11,first principles calculations have clarified the electronic structure and stability of the cluster under o2 molecule adsorption and reaction our results show that the encapsulated si12 hexagonal prism cage is very inert to oxidation the o2 molecule only weakly adsorbs onto the cluster at relatively low temperatures in the range of several tens mev however significant reaction barriers for the o2 molecule on the cluster are identified on different adsorption sites nevertheless these reaction paths are spin forbidden reactions according to wingerʼs spin selection rule these results imply that o2 readily desorb from the cluster surface rather than dissociate and oxide the cluster upon excitations in high temperature and high pressure conditions the o2 molecules may dissociate on the preferential edge site by overcoming significantly large energy ,"['0.593–1.118 eV', 'adsorption', 'cluster', 'electronic structure and stability', 'First-principles calculations', 'high temperature and high pressure conditions', 'low temperatures', 'O2', 'O2 molecule adsorption and reaction', 'overcoming a significantly large energy barrier', 'oxidation', 'reaction', 'significant reaction barriers', 'spin forbidden reactions', 'W-encapsulated Si12 hexagonal prism cage', 'Wingerʼs spin selection rule', 'W@Si12 cluster']",B I I O O O B I I I O O B O B O B O B O O O O O O O O O O O O O O B O O O O O O O O O O O B I O O O O O O O O B I I O O O O O O O O O O O O O O O O O O B I I O O B I I I O O O O O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O 
12,12,as discussed above proper inclusion of these interactions requires segment synchronization after every iteration in order to minimize simulation errors due to incorrect values of the interactions potential segments are synchronized after every iteration although relatively long communication times between remote processors may hinder this process in typical parallel computers this is not the case for gpgpu architectures still full recalculation of the interaction potential after each iteration is time consuming instead the algorithm corrects the current potential by adding dipole contributions for every nearby charge that hopped during the previous iteration full updates of the interaction potential are only required for the grid points that are related to charges that hopped during the last iteration accumulative rounding errors that arise due to repetitive addition and subtraction are solve this by rounding all interaction potentials to uniformly spaced range of floating point ,"['adding dipole contributions', 'algorithm', 'corrects the current potential', 'GPGPU architectures', 'interaction potential', 'minimize simulation errors', 'parallel computers', 'processors', 'proper inclusion of these interactions', 'recalculation of the interaction potential', 'segments are synchronized after every iteration', 'segment synchronization after every iteration']",O O O B I I I I O B I I I I O O O B I I O O O O O O O O B I I I I I O O O O O O O B O O O O O O B I O O O O O O B I O O O O O B I O O O O O O O O B B I I I O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
13,13,the oxide thickness is calculated using the weight gain and surface area artificially changing the surface profile will modify the surface area and calculated oxide thickness sem images of samples removed after 111 days oxidation were used to define the change in surface profile length with variation in applied roughness the profile lengths extracted from the images were then used to modify the length of the sample and therefore the surface area table shows the original oxide thicknesses after 111 days oxidation the modified oxide thicknesses based on the surface profile length and the percentage difference results show maximum decrease in the oxide thickness of when using surface which accounts for roughness comparing the change in oxide thickness between different surface finishes indicates variation of less than as such the impact of the variation in the profile length on the calculated oxide thickness is considered to be insignificant in addition if the differences in weight gain were only due to differences in surface area rougher samples would be expected to demonstrate thicker oxides at the earliest stages of ,"['images', 'oxidation', 'oxide', 'oxides', 'profile', 'sample', 'samples', 'SEM images', 'surface', 'surface area', 'surface profile']",O B O O O O O O O O B O O O O O B O O O O O O O O O O B O B O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O 
14,14,fabhemelb is python tool which helps automate the construction and management of ensemble simulation workflows fabhemelb is an extended version of fabsim configured to handle hemelb operations both fabsim and fabhemelb help to automate application deployment execution and data analysis on remote resources fabhemelb can be used to compile and build hemelb on any remote resource to reuse machine specific configurations and to organize and curate simulation data it can also submit hemelb jobs to remote resource specifying the number of cores and the wall clock time limit for completing simulation the tool is also able to monitor the queue status on remote resources fetch results of completed jobs and can conveniently combine functionalities into single one line commands in general the fabhemelb commands have the following structure ,"['automate application deployment, execution and data analysis on remote resources', 'automate the construction and management of ensemble simulation workflows', 'combine functionalities into single one-line commands', 'data analysis', 'deployment', 'execution', 'FabHemeLB', 'FabSim', 'fetch results of completed jobs', 'HemeLB', 'monitor the queue status on remote resources', 'organize and curate simulation data', 'Python tool', 'simulation', 'simulation data']",B O B I O O B I I I I I I I I O O O O O O B O O O B O O O O O O O O O B B I I I I I I O O O O O O O O O O O O O O O O O O O O B I I I I O O O O O O O O O O O O O O O O O O O O O O B O O O O O O B I I I I I I B I I I I O O O B I I I I I I O O O O O O O O O 
15,15,hydrides once precipitated in zirconium degrade the mechanical properties of component leading to reductions in tensile strength ductility and fracture toughness these changes can ultimately compromise the integrity of cladding during normal operating life accident conditions and fuel storage as well as the degradation of mechanical properties the presence of hydrides can also affect phenomena like pellet cladding mechanical interaction or introduce mechanisms for failure such as delayed hydride cracking the former mechanism is the product of thermal expansion in fuel pellets introducing stresses into the cladding which may then lead to the formation of cracks in areas made brittle by large hydride concentrations the latter mechanism dhc is sub critical time dependent cracking phenomenon that requires long range hydrogen diffusion for repeated local hydride growth and fracture at hydrostatic tensile stress raiser the process occurs over an extended period of time under continuously applied load that is below the yield stress of the material ,"['cladding', 'cracking phenomenon', 'delayed hydride cracking', 'DHC', 'fuel', 'fuel pellets', 'hydride', 'hydrides', 'Hydrides', 'hydrogen', 'hydrogen diffusion', 'hydrostatic tensile stress raiser', 'local hydride growth', 'PCMI', 'pellet cladding mechanical interaction', 'thermal expansion', 'zirconium']",B O O O B O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O B O O O O O O O O O O O O B O O O O O B I I I O O O O O O O B I I O O O O O O O B I O B I O O O O O O O O O O O O O O O O O O O O B O O O O B O O O O O O O O O O O B O O O B I I O O O B I I I O O O O O O O O O O O O O O O O O O O O O O 
16,16,in exploring the wkb limit of quantum theory bohm was the first to notice that although one starts with all the ambiguities about the nature of quantum system the first order approximation fits the ordinary classical ontology by that we mean that the real part of the schrödinger equation under polar decomposition of the wave function becomes the classical hamilton jacobi equation in the limit where terms involving are neglected in contrast to this approach in this letter we show that the classical trajectories arise from short time quantum propagator when terms of can be neglected this fact was actually already observed by holland some twenty years ago in page 269 of his book infinitesimal time intervals are considered whose sequence constructs finite path it is shown that along each segment the motion is classical quantum and that it follows that the quantum path may be decomposed into sequence of segments along each of which the classical action is minimum the novel contribution of the present letter is an improved proof of hollandʼs result using an improved version of the propagator due to makri and miller also de gosson for further ,"['Hamilton–Jacobi equation', 'infinitesimal time intervals', 'propagator', 'Schrödinger equation under polar decomposition of the wave function', 'short-time quantum propagator', 'WKB limit of quantum theory']",O O O B I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I I I I O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
17,17,in the total focusing method the beam is synthetically focused at every point in the target region as follows after obtaining the fmc data the target region which is in the plane in 2d is discretized into grid the signals from all elements in the array are then summed to synthesize focus at every point in this grid linear interpolation of the time domain signals is necessary since they are discretely sampled the intensity of the tfm image itfm at any point is given by is the hilbert transform of signal in the fmc data xt is the position of the transmitting element and xr is the position of the receiving element note that the position of all elements is zero the summation is carried out for all possible transmitter receiver pairs and therefore uses all the information captured with fmc this algorithm is referred to as in this ,"['conventional TFM', 'discretely sampled', 'discretized into a grid', 'FMC', 'FMC data', 'grid', 'Hilbert transform', 'Linear interpolation', 'R', 'receiving element', 'summation', 'summed', 'synthesize a focus at every point in this grid', 'T', 'TFM', 'TFM image', 'TFM image ITFM', 'Total Focusing Method', 'transmitter–receiver pairs', 'transmitting element', 'x–z plane']",O O B I I O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O B O O O O O O O O O O B O O O O O O O O O B I O O O O O O O O O O B I O O O O B O O O O O O O O O O B I O O O O B I O O O O O O B I O O O O O O O B I O O O O O O O O O O B O O O O O O B I I O O O O O O O O O O O O O O O O O 
18,18,the need for power generation industry to improve the thermal efficiency of power plant has led to the development of cr martensitic steels the development of and research on p91 steels started since late 1970s and early 1990s respectively the work has focussed on their creep strengths due to its intended application at high temperature recently the introduction of more cyclic operation of power plant has introduced the possibility of fatigue problems bore cracking due to the effects of varying steam warming has been reported the temperature cycling causes thermal gradients between the inside and outside of components and this can cause cyclic stress levels to be of concerns recently research on thermal mechanical analysis of p91 has been carried out including the characterisation of the cyclic behaviour of the material using the two layer and unified visco plasticity models ,"['9–12% Cr martensitic steels', 'characterisation of the cyclic behaviour of the material', 'development of and research on P91 steels', 'fatigue problems', 'improve the thermal efficiency of power plant', 'P91', 'P91 steels', 'power generation', 'power plant', 'steam warming', 'temperature cycling', 'the material', 'thermal–mechanical analysis of P91', 'two-layer and unified visco-plasticity models']",O O O B I O O B I I I I I I O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O B I O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I I I O O B I I I I I I 
19,19,the presence of chaotic motion in nuclear systems has been firmly related with the statistics of high lying energy poisson distributions of normalized spacings of successive nuclear or atomic excited levels with the same spin and parity correspond to integrable classical dynamics while statistics signal chaotic motion in the corresponding classical intermediate situations are more difficult to assess very recently proposal has been made to treat the spectral fluctuations δn as discrete time series defining with the mean level density which allows the mapping to dimensionless levels with unitary average level density and analyzing the energy fluctuations as discrete time series they found that nuclear power spectra behave like 1f noise postulating that this might be characteristic signature of generic quantum chaotic systems in the present work we implement this idea using the 1f spectral behavior as test for the presence of chaos in nuclear mass ,"['1f spectral behavior', 'analyzing the energy fluctuations', 'chaos in nuclear mass errors', 'chaotic motion', 'chaotic motion in nuclear systems', 'classical regime', 'discrete time series', 'excited levels', 'integrable classical dynamics', 'mapping to dimensionless levels', 'nuclear power spectra', 'parity', 'Poisson distributions', 'quantum chaotic systems', 'spectral fluctuations', 'spin', 'statistics of high-lying energy levels', 'unitary average level density', ""Wigner's statistics"", 'δn']",O O O B I O O O O O O O O O O O O O O B I O O O O O O O O B I O O O B O B O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O B I B O B I I O O O O O O O O O B I I I O B I I I O B I I I O O O O O O O O O O O O O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O 
20,20,inspired by energy fueled phenomena such as cortical cytoskeleton flows during biological morphogenesis the theory of active polar viscous gels has been developed the theory models the continuum macroscopic mechanics of collection of uniaxial active agents embedded in viscous bulk medium in which internal stresses are induced due to dissipation of energy the energy consuming uniaxial polar agents constituting the gel are modeled as unit vectors the average of unit vectors in small local volume at each point defines the macroscopic directionality of the agents and is described by polarization field the polarization field is governed by an equation of motion accounting for energy consumption and for the strain rate in the fluid the relationship between the strain rate and the stress in the fluid is provided by constitutive equation that accounts for anisotropic polar agents and consumption of energy these equations along with conservation of momentum provide continuum hydrodynamic description modeling active polar viscous gels as an energy consuming anisotropic non newtonian fluid the resulting partial differential equations governing the hydrodynamics of active polar viscous gels are however in general analytically ,"['active polar viscous gels', 'biological morphogenesis', 'constitutive equation', 'continuum hydrodynamic description', 'cortical cytoskeleton flows', 'energy consuming, anisotropic, non-Newtonian fluid', 'equation of motion', 'fluid', 'gel', 'models the continuum, macroscopic mechanics', 'polarization field', 'polar viscous gels', 'theory of active polar viscous gels', 'These equations, along with conservation of momentum', 'uniaxial active agents', 'uniaxial polar agents', 'viscous bulk medium']",O O O O O O O B I I O B I O O O B I I I O O O O O B I I B I O O O B I I O O B I I O O O O O O O O O O O O O O B I I O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O B I I O O O O O O O O O O O B O O O O O O O O O O O O O O O B I O O O B O O O O O O B I B I I I I O O O O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O 
21,21,in order to test whether haptic patterns can convey or enhance the mood music of movie an affective movie clip corpus was required consisting of clips labeled according to the emotion conveyed in the mood music the following database collections were examined as possible sources for the corpus the emotional movie database and film stim however these were discarded after review as unsuitable the aim of this study is to enhance the mood in the film score and in the case of the clips in the emdb no audio is provided which deemed the clips unsuitable in the case of the film stim database the clips are in french rather than english and with no subtitles which where also deemed unsuitable since the studies are carried out with english speaking participants furthermore the film stim selection is based on the affective content of the narrative as in most of them there is no music which is also unsuitable as discussed from our review of available database collections it was found that at present there is no standard corpus of affective movie clips where the affective indexing referred to the musical score of the ,"['affective movie clip corpus', 'database collections', 'EMDB', 'Emotional Movie Database', 'English speaking participants', 'enhance the mood', 'Film Stim', 'Film Stim database', 'Film Stim selection', 'review', 'review of available database collections', 'test whether haptic patterns can convey or enhance the mood music']",O O O O O O O O O O B I I O O O O B I I I O O O O O O O O O O O O O O O O O B I O O O O O O O O O B I I O B I O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O 
