,text,keywords
10,thecontroloftherpreencounterprobabilityfindsdirectapplicationtoimprovetheperformanceofchemicaldeviceshereweshowhowsimpletoimplementcontrolschemehighlyenhancesthesensitivityofmodelchemicalmagnetometerbyuptotwoordersofmagnitudethebasicideabehindchemicalmagnetometeristhatsincechangeinthemagneticfieldmodifiestheamountofsingletproductsonecanreversethereasoningandmeasurethechemicalyieldtoestimateintuitivelythemagneticsensitivityishighwhensmallchangeinthemagneticfieldintensityproduceslargeeffectsonthesingletyieldformallyitisdefinedasbeingtheinstantaneousmagneticsensitivitythefunctionalformofstronglydependsonthespecificrealizationoftheradicalpairinparticularonthenumberofthesurroundingnuclearspinshereweconsiderradicalpairinwhichthefirstelectronspinisdevoidofhyperfineinteractionswhilethesecondelectronspininteractsisotropicallywithonespinnucleusnitrogeninthecontextofthechemicalcompasswhenthetaskisdeterminingthemagneticfielddirectionthroughanisotropichyperfineananalogousconfigurationonlyonespinhasbeenproposedandnumericallycharacterizedasbeingoptimaladditionalnuclearspinswouldperturbtheintuitiveandpicturethehamiltonianthensimplifiestowhereistheisotropichyperfine,"['(2)Λs(B)≡∂Φs(B)∂B=∫0∞pre(t)gs(B,t)dt', 'analogous configuration', 'anisotropic hyperfine interactions', 'B', 'chemical compass', 'chemical devices', 'chemical magnetometer', 'chemical yield', 'control scheme', 'determining the magnetic field direction through anisotropic hyperfine interactions', 'electron spin', 'gs(B,t)≡∂fs(B,t)∂B', 'hyperfine interactions', 'H=-γeB(S1(z)+S2(z))+|γe|αS→2·I→', 'improve the performance of chemical devices', 'instantaneous magnetic sensitivity', 'isotropic hyperfine coupling', 'magnetic field', 'magnetic field direction', 'magnetic field intensity', 'magnetic sensitivity', 'model chemical magnetometer', 'nitrogen', 'nuclear spins', 'realization of the radical pair', 'RP re-encounter probability', 'singlet products', 'singlet yield', 'spin-1/2 nucleus', 'spin-1 nucleus', 'α']"
11,firstprinciplescalculationshaveclarifiedtheelectronicstructureandstabilityoftheclusterundero2moleculeadsorptionandreactionourresultsshowthattheencapsulatedsi12hexagonalprismcageisveryinerttooxidationtheo2moleculeonlyweaklyadsorbsontotheclusteratrelativelylowtemperaturesintherangeofseveraltensmevhoweversignificantreactionbarriersfortheo2moleculeontheclusterareidentifiedondifferentadsorptionsitesneverthelessthesereactionpathsarespinforbiddenreactionsaccordingtowingerʼsspinselectionruletheseresultsimplythato2readilydesorbfromtheclustersurfaceratherthandissociateandoxidetheclusteruponexcitationsinhightemperatureandhighpressureconditionstheo2moleculesmaydissociateonthepreferentialedgesitebyovercomingsignificantlylargeenergy,"['0.593–1.118 eV', 'adsorption', 'cluster', 'electronic structure and stability', 'First-principles calculations', 'high temperature and high pressure conditions', 'low temperatures', 'O2', 'O2 molecule adsorption and reaction', 'overcoming a significantly large energy barrier', 'oxidation', 'reaction', 'significant reaction barriers', 'spin forbidden reactions', 'W-encapsulated Si12 hexagonal prism cage', 'Wingerʼs spin selection rule', 'W@Si12 cluster']"
12,asdiscussedaboveproperinclusionoftheseinteractionsrequiressegmentsynchronizationaftereveryiterationinordertominimizesimulationerrorsduetoincorrectvaluesoftheinteractionspotentialsegmentsaresynchronizedaftereveryiterationalthoughrelativelylongcommunicationtimesbetweenremoteprocessorsmayhinderthisprocessintypicalparallelcomputersthisisnotthecaseforgpgpuarchitecturesstillfullrecalculationoftheinteractionpotentialaftereachiterationistimeconsuminginsteadthealgorithmcorrectsthecurrentpotentialbyaddingdipolecontributionsforeverynearbychargethathoppedduringthepreviousiterationfullupdatesoftheinteractionpotentialareonlyrequiredforthegridpointsthatarerelatedtochargesthathoppedduringthelastiterationaccumulativeroundingerrorsthatariseduetorepetitiveadditionandsubtractionaresolvethisbyroundingallinteractionpotentialstouniformlyspacedrangeoffloatingpoint,"['adding dipole contributions', 'algorithm', 'corrects the current potential', 'GPGPU architectures', 'interaction potential', 'minimize simulation errors', 'parallel computers', 'processors', 'proper inclusion of these interactions', 'recalculation of the interaction potential', 'segments are synchronized after every iteration', 'segment synchronization after every iteration']"
13,theoxidethicknessiscalculatedusingtheweightgainandsurfaceareaartificiallychangingthesurfaceprofilewillmodifythesurfaceareaandcalculatedoxidethicknesssemimagesofsamplesremovedafter111daysoxidationwereusedtodefinethechangeinsurfaceprofilelengthwithvariationinappliedroughnesstheprofilelengthsextractedfromtheimageswerethenusedtomodifythelengthofthesampleandthereforethesurfaceareatableshowstheoriginaloxidethicknessesafter111daysoxidationthemodifiedoxidethicknessesbasedonthesurfaceprofilelengthandthepercentagedifferenceresultsshowmaximumdecreaseintheoxidethicknessofwhenusingsurfacewhichaccountsforroughnesscomparingthechangeinoxidethicknessbetweendifferentsurfacefinishesindicatesvariationoflessthanassuchtheimpactofthevariationintheprofilelengthonthecalculatedoxidethicknessisconsideredtobeinsignificantinadditionifthedifferencesinweightgainwereonlyduetodifferencesinsurfacearearoughersampleswouldbeexpectedtodemonstratethickeroxidesattheearlieststagesof,"['images', 'oxidation', 'oxide', 'oxides', 'profile', 'sample', 'samples', 'SEM images', 'surface', 'surface area', 'surface profile']"
14,fabhemelbispythontoolwhichhelpsautomatetheconstructionandmanagementofensemblesimulationworkflowsfabhemelbisanextendedversionoffabsimconfiguredtohandlehemelboperationsbothfabsimandfabhemelbhelptoautomateapplicationdeploymentexecutionanddataanalysisonremoteresourcesfabhemelbcanbeusedtocompileandbuildhemelbonanyremoteresourcetoreusemachinespecificconfigurationsandtoorganizeandcuratesimulationdataitcanalsosubmithemelbjobstoremoteresourcespecifyingthenumberofcoresandthewallclocktimelimitforcompletingsimulationthetoolisalsoabletomonitorthequeuestatusonremoteresourcesfetchresultsofcompletedjobsandcanconvenientlycombinefunctionalitiesintosingleonelinecommandsingeneralthefabhemelbcommandshavethefollowingstructure,"['automate application deployment, execution and data analysis on remote resources', 'automate the construction and management of ensemble simulation workflows', 'combine functionalities into single one-line commands', 'data analysis', 'deployment', 'execution', 'FabHemeLB', 'FabSim', 'fetch results of completed jobs', 'HemeLB', 'monitor the queue status on remote resources', 'organize and curate simulation data', 'Python tool', 'simulation', 'simulation data']"
15,hydridesonceprecipitatedinzirconiumdegradethemechanicalpropertiesofcomponentleadingtoreductionsintensilestrengthductilityandfracturetoughnessthesechangescanultimatelycompromisetheintegrityofcladdingduringnormaloperatinglifeaccidentconditionsandfuelstorageaswellasthedegradationofmechanicalpropertiesthepresenceofhydridescanalsoaffectphenomenalikepelletcladdingmechanicalinteractionorintroducemechanismsforfailuresuchasdelayedhydridecrackingtheformermechanismistheproductofthermalexpansioninfuelpelletsintroducingstressesintothecladdingwhichmaythenleadtotheformationofcracksinareasmadebrittlebylargehydrideconcentrationsthelattermechanismdhcissubcriticaltimedependentcrackingphenomenonthatrequireslongrangehydrogendiffusionforrepeatedlocalhydridegrowthandfractureathydrostatictensilestressraisertheprocessoccursoveranextendedperiodoftimeundercontinuouslyappliedloadthatisbelowtheyieldstressofthematerial,"['cladding', 'cracking phenomenon', 'delayed hydride cracking', 'DHC', 'fuel', 'fuel pellets', 'hydride', 'hydrides', 'Hydrides', 'hydrogen', 'hydrogen diffusion', 'hydrostatic tensile stress raiser', 'local hydride growth', 'PCMI', 'pellet cladding mechanical interaction', 'thermal expansion', 'zirconium']"
16,inexploringthewkblimitofquantumtheorybohmwasthefirsttonoticethatalthoughonestartswithalltheambiguitiesaboutthenatureofquantumsystemthefirstorderapproximationfitstheordinaryclassicalontologybythatwemeanthattherealpartoftheschrödingerequationunderpolardecompositionofthewavefunctionbecomestheclassicalhamiltonjacobiequationinthelimitwheretermsinvolvingareneglectedincontrasttothisapproachinthisletterweshowthattheclassicaltrajectoriesarisefromshorttimequantumpropagatorwhentermsofcanbeneglectedthisfactwasactuallyalreadyobservedbyhollandsometwentyyearsagoinpage269ofhisbookinfinitesimaltimeintervalsareconsideredwhosesequenceconstructsfinitepathitisshownthatalongeachsegmentthemotionisclassicalquantumandthatitfollowsthatthequantumpathmaybedecomposedintosequenceofsegmentsalongeachofwhichtheclassicalactionisminimumthenovelcontributionofthepresentletterisanimprovedproofofhollandʼsresultusinganimprovedversionofthepropagatorduetomakriandmilleralsodegossonforfurther,"['Hamilton–Jacobi equation', 'infinitesimal time intervals', 'propagator', 'Schrödinger equation under polar decomposition of the wave function', 'short-time quantum propagator', 'WKB limit of quantum theory']"
17,inthetotalfocusingmethodthebeamissyntheticallyfocusedateverypointinthetargetregionasfollowsafterobtainingthefmcdatathetargetregionwhichisintheplanein2disdiscretizedintogridthesignalsfromallelementsinthearrayarethensummedtosynthesizefocusateverypointinthisgridlinearinterpolationofthetimedomainsignalsisnecessarysincetheyarediscretelysampledtheintensityofthetfmimageitfmatanypointisgivenbyisthehilberttransformofsignalinthefmcdataxtisthepositionofthetransmittingelementandxristhepositionofthereceivingelementnotethatthepositionofallelementsiszerothesummationiscarriedoutforallpossibletransmitterreceiverpairsandthereforeusesalltheinformationcapturedwithfmcthisalgorithmisreferredtoasinthis,"['conventional TFM', 'discretely sampled', 'discretized into a grid', 'FMC', 'FMC data', 'grid', 'Hilbert transform', 'Linear interpolation', 'R', 'receiving element', 'summation', 'summed', 'synthesize a focus at every point in this grid', 'T', 'TFM', 'TFM image', 'TFM image ITFM', 'Total Focusing Method', 'transmitter–receiver pairs', 'transmitting element', 'x–z plane']"
18,theneedforpowergenerationindustrytoimprovethethermalefficiencyofpowerplanthasledtothedevelopmentofcrmartensiticsteelsthedevelopmentofandresearchonp91steelsstartedsincelate1970sandearly1990srespectivelytheworkhasfocussedontheircreepstrengthsduetoitsintendedapplicationathightemperaturerecentlytheintroductionofmorecyclicoperationofpowerplanthasintroducedthepossibilityoffatigueproblemsborecrackingduetotheeffectsofvaryingsteamwarminghasbeenreportedthetemperaturecyclingcausesthermalgradientsbetweentheinsideandoutsideofcomponentsandthiscancausecyclicstresslevelstobeofconcernsrecentlyresearchonthermalmechanicalanalysisofp91hasbeencarriedoutincludingthecharacterisationofthecyclicbehaviourofthematerialusingthetwolayerandunifiedviscoplasticitymodels,"['9–12% Cr martensitic steels', 'characterisation of the cyclic behaviour of the material', 'development of and research on P91 steels', 'fatigue problems', 'improve the thermal efficiency of power plant', 'P91', 'P91 steels', 'power generation', 'power plant', 'steam warming', 'temperature cycling', 'the material', 'thermal–mechanical analysis of P91', 'two-layer and unified visco-plasticity models']"
19,thepresenceofchaoticmotioninnuclearsystemshasbeenfirmlyrelatedwiththestatisticsofhighlyingenergypoissondistributionsofnormalizedspacingsofsuccessivenuclearoratomicexcitedlevelswiththesamespinandparitycorrespondtointegrableclassicaldynamicswhilestatisticssignalchaoticmotioninthecorrespondingclassicalintermediatesituationsaremoredifficulttoassessveryrecentlyproposalhasbeenmadetotreatthespectralfluctuationsδnasdiscretetimeseriesdefiningwiththemeanleveldensitywhichallowsthemappingtodimensionlesslevelswithunitaryaverageleveldensityandanalyzingtheenergyfluctuationsasdiscretetimeseriestheyfoundthatnuclearpowerspectrabehavelike1fnoisepostulatingthatthismightbecharacteristicsignatureofgenericquantumchaoticsystemsinthepresentworkweimplementthisideausingthe1fspectralbehaviorastestforthepresenceofchaosinnuclearmass,"['1f spectral behavior', 'analyzing the energy fluctuations', 'chaos in nuclear mass errors', 'chaotic motion', 'chaotic motion in nuclear systems', 'classical regime', 'discrete time series', 'excited levels', 'integrable classical dynamics', 'mapping to dimensionless levels', 'nuclear power spectra', 'parity', 'Poisson distributions', 'quantum chaotic systems', 'spectral fluctuations', 'spin', 'statistics of high-lying energy levels', 'unitary average level density', ""Wigner's statistics"", 'δn']"
20,inspiredbyenergyfueledphenomenasuchascorticalcytoskeletonflowsduringbiologicalmorphogenesisthetheoryofactivepolarviscousgelshasbeendevelopedthetheorymodelsthecontinuummacroscopicmechanicsofcollectionofuniaxialactiveagentsembeddedinviscousbulkmediuminwhichinternalstressesareinducedduetodissipationofenergytheenergyconsuminguniaxialpolaragentsconstitutingthegelaremodeledasunitvectorstheaverageofunitvectorsinsmalllocalvolumeateachpointdefinesthemacroscopicdirectionalityoftheagentsandisdescribedbypolarizationfieldthepolarizationfieldisgovernedbyanequationofmotionaccountingforenergyconsumptionandforthestrainrateinthefluidtherelationshipbetweenthestrainrateandthestressinthefluidisprovidedbyconstitutiveequationthataccountsforanisotropicpolaragentsandconsumptionofenergytheseequationsalongwithconservationofmomentumprovidecontinuumhydrodynamicdescriptionmodelingactivepolarviscousgelsasanenergyconsuminganisotropicnonnewtonianfluidtheresultingpartialdifferentialequationsgoverningthehydrodynamicsofactivepolarviscousgelsarehoweveringeneralanalytically,"['active polar viscous gels', 'biological morphogenesis', 'constitutive equation', 'continuum hydrodynamic description', 'cortical cytoskeleton flows', 'energy consuming, anisotropic, non-Newtonian fluid', 'equation of motion', 'fluid', 'gel', 'models the continuum, macroscopic mechanics', 'polarization field', 'polar viscous gels', 'theory of active polar viscous gels', 'These equations, along with conservation of momentum', 'uniaxial active agents', 'uniaxial polar agents', 'viscous bulk medium']"
21,inordertotestwhetherhapticpatternscanconveyorenhancethemoodmusicofmovieanaffectivemovieclipcorpuswasrequiredconsistingofclipslabeledaccordingtotheemotionconveyedinthemoodmusicthefollowingdatabasecollectionswereexaminedaspossiblesourcesforthecorpustheemotionalmoviedatabaseandfilmstimhoweverthesewerediscardedafterreviewasunsuitabletheaimofthisstudyistoenhancethemoodinthefilmscoreandinthecaseoftheclipsintheemdbnoaudioisprovidedwhichdeemedtheclipsunsuitableinthecaseofthefilmstimdatabasetheclipsareinfrenchratherthanenglishandwithnosubtitleswhichwherealsodeemedunsuitablesincethestudiesarecarriedoutwithenglishspeakingparticipantsfurthermorethefilmstimselectionisbasedontheaffectivecontentofthenarrativeasinmostofthemthereisnomusicwhichisalsounsuitableasdiscussedfromourreviewofavailabledatabasecollectionsitwasfoundthatatpresentthereisnostandardcorpusofaffectivemovieclipswheretheaffectiveindexingreferredtothemusicalscoreofthe,"['affective movie clip corpus', 'database collections', 'EMDB', 'Emotional Movie Database', 'English speaking participants', 'enhance the mood', 'Film Stim', 'Film Stim database', 'Film Stim selection', 'review', 'review of available database collections', 'test whether haptic patterns can convey or enhance the mood music']"
22,thedynamicsofvariousphysicalphenomenasuchasthemovementofpendulumsplanetsorwaterwavescanbedescribedinvariationalframeworkthedevelopmentofvariationalprinciplesforclassicalmechanicstracesbacktoeulerlagrangeandhamiltonanoverviewofthishistorycanbefoundinthisapproachallowstoexpressallthedynamicsofsysteminsinglefunctionalthelagrangianwhichisanactionintegralhamiltonianmechanicsisreformulationoflagrangianmechanicswhichprovidesconvenientframeworktostudythesymmetrypropertiesofsystemthisisexpressedbytheoremwhichestablishesthedirectconnectionbetweenthesymmetrypropertiesofhamiltoniansystemsandconservationlawswhenoneapproximatesthesystemnumericallyitisadvantageoustopreservethehamiltonianstructurealsoatthediscretelevelgiventhathamiltoniansystemsareabundantinnaturetheirnumericalapproximationisthereforetopicofsignificant,"['action integral', 'approach', 'dynamics of a system', 'express all the dynamics of a system', 'framework', 'Hamiltonian mechanics', 'Hamiltonian systems', 'Lagrangian', 'movement of pendulums, planets, or water waves', 'numerical approximation', 'pendulums', 'physical phenomena', 'planets', 'reformulation of Lagrangian mechanics', 'single functional', 'study the symmetry properties of a system', 'system', 'The dynamics of various physical phenomena', 'variational framework', 'variational principles', 'water waves']"
23,thenumberofexperimentsconductedwasreducedbyselectingthefourmostimportantparametersforvariationtablewhiletheremainingparameterswerekeptconstanttheo2flowratewaskeepconstantat99sccmwhilethesf6flowratewasvariedbetweenand20sccmthepressureintheetchchamberwascontrolledtokeepthegasdensitystablesincethepressurehaspronouncedeffectonetchcharacteristicsthepressurewasvariedbetween20and40mtorritshouldbenotedthatthesystemwasruninautomaticpressurecontrolmodewhichcontinuouslyadjuststhethrottlevalvetokeepconstantpressureduringetchthecoilpowerwasfixedat1000wwhilethebiaspowerwasvariedbetweenand30wfinallythesubstratechucktemperaturewascontrolledbetween10andthisdesignresultedinfullfactorialscreeninginfourparameterswherethreecenterpointswereusedtocheckforquadraticcurvaturewherethequadratictermofparameterisneededtogeneratevalidmodelthetotalnumberofexperimentsinthissetupis19whichwereprocessedfor20mineachtheexperimentsinthedesignwerecarriedoutinrandom,"['adjusts the throttle valve', 'automatic pressure control', 'check for quadratic curvature', 'etch chamber', 'factorial screening', 'gas', 'keep the gas density stable', 'pressure in the etch chamber', 'throttle valve']"
